Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,99.43699584859823,104.92732600683642,99.34074734054086,100.03791370165176,100.03791370165176,442981
2016-01-04,101.2619614946806,100.35280712582546,97.74070107946915,100.25327161460761,100.25327161460761,409341
2016-01-05,100.28300063782348,102.9934494344463,97.59565319490984,100.20816305726564,100.20816305726564,289542
2016-01-06,99.75189659658677,100.91294724055275,96.53516059810292,100.51952033504082,100.51952033504082,211023
2016-01-07,99.3722006548533,101.38886765763007,99.28693629641025,100.842468805869,100.842468805869,349227
2016-01-08,101.87023973759115,105.33435698772135,100.17564828442369,101.02905159719849,101.02905159719849,434677
2016-01-11,100.9944053368936,104.35014268062594,96.76955603196951,101.25953727671475,101.25953727671475,186299
2016-01-12,100.14238912783195,105.42429614122169,99.37947092459143,101.10586077195698,101.10586077195698,151816
2016-01-13,100.04351892246527,105.86922141118599,97.60712357208617,100.9065857512723,100.9065857512723,114908
2016-01-14,99.83642712350301,102.31594054994612,99.78853458961554,101.42015414062926,101.42015414062926,237329
2016-01-15,102.2047257458025,106.21665086944736,100.67797941835782,101.43079244101547,101.43079244101547,342545
2016-01-18,100.09241197857156,105.22780142503898,98.8376396674711,101.95808823429594,101.95808823429594,349553
2016-01-19,102.66216635430392,104.98174656239495,99.07368046638132,102.25701928358484,102.25701928358484,227031
2016-01-20,102.3398570949799,105.51510025555108,100.11856205295231,102.66005437113125,102.66005437113125,214347
2016-01-21,103.04090413335423,105.94700054122298,98.73553800729742,103.01268252566389,103.01268252566389,366450
2016-01-22,101.78633989321331,103.71206295395618,103.623897665359,103.67140418134159,103.67140418134159,339742
2016-01-25,103.0455336160226,106.79501710334438,102.55108524883633,104.24351627478732,104.24351627478732,326601
2016-01-26,105.53266144623326,105.05138976549189,103.43927606992001,104.27068314730396,104.27068314730396,260269
2016-01-27,104.4344931785818,110.06394475317808,103.22455478432917,104.93190863675454,104.93190863675454,116989
2016-01-28,107.00880403021426,108.56589559080672,100.72286077109374,105.41669612110414,105.41669612110414,417879
2016-01-29,107.83527346545604,110.59401157074599,104.02438308694384,105.95019933813967,105.95019933813967,310630
2016-02-01,105.9032162025815,110.47810641082589,105.34281991809985,106.26276252810298,106.26276252810298,348122
2016-02-02,107.63437203721008,110.57789892696503,106.15432956116015,106.78146501268091,106.78146501268091,419513
2016-02-03,105.26938041236056,111.16291850373277,106.51637075329415,107.33396806818598,107.33396806818598,190540
2016-02-04,106.14305089591342,108.33566811128509,106.08897290980913,107.46999519885618,107.46999519885618,345106
2016-02-05,106.38749455240333,111.55482389488708,104.33043198720873,107.41926574623915,107.41926574623915,180603
2016-02-08,108.10325588038812,109.48673238040503,104.79068494434995,108.25324567349375,108.25324567349375,183095
2016-02-09,109.94320807309244,111.03511279179628,106.94823071441304,108.96246627855653,108.96246627855653,234156
2016-02-10,107.24138814723744,114.0377466623128,104.90017094736868,108.87156664913729,108.87156664913729,145149
2016-02-11,107.43501763932582,112.5148804611258,107.88970419770554,109.35509933411375,109.35509933411375,426180
2016-02-12,110.74724688845593,115.06561487679302,106.57809370378332,109.93023274599754,109.93023274599754,229886
2016-02-15,111.14505049988529,114.87878512099418,109.02116639251679,110.37742209721931,110.37742209721931,356569
2016-02-16,112.79416707511864,115.24768614469492,105.80547181372141,111.14656794717297,111.14656794717297,129183
2016-02-17,110.03155475609131,114.98294073414222,107.07409812940361,112.02651140406512,112.02651140406512,112741
2016-02-18,112.65273862947785,116.23066003708794,111.80500109703938,112.75683723024606,112.75683723024606,388813
2016-02-19,111.33890048633477,114.67369330752773,107.28176396233017,112.67736892654167,112.67736892654167,167576
2016-02-22,111.43316204542307,114.43023877741365,109.99510077817433,113.35352846914509,113.35352846914509,124600
2016-02-23,113.62150044934147,118.72252851544764,110.99819346517094,113.43985343810283,113.43985343810283,138892
2016-02-24,113.82116590362484,115.86348558237962,113.59600213991952,113.73640444366936,113.73640444366936,494562
2016-02-25,115.68936050754114,114.41103215457402,113.4269283172138,113.83028034811247,113.83028034811247,378696
2016-02-26,113.37127593979753,118.74649160051925,109.98304815569053,113.74546636105975,113.74546636105975,421403
2016-02-29,113.15265877997687,118.8381348813182,108.82343236980229,114.14910916881567,114.14910916881567,395097
2016-03-01,114.38092361087189,117.53807894660967,111.61817644218877,115.02091972240032,115.02091972240032,144702
2016-03-02,117.32261012392239,120.94970299559184,114.87200390927786,115.5375326826662,115.5375326826662,282670
2016-03-03,117.4650136318389,121.9906412162615,115.22191216076554,116.32647623248802,116.32647623248802,154353
2016-03-04,118.01264443692308,119.09225984232619,110.87799424373326,116.58933781214928,116.58933781214928,290698
2016-03-07,115.1525283922847,117.84612218049772,115.8209472830017,116.95428185217355,116.95428185217355,323619
2016-03-08,117.98651037102408,119.88639391790697,113.71913782166332,116.88014886193919,116.88014886193919,482203
2016-03-09,117.0647837885151,122.76391166342512,114.2190791027747,117.05241671934037,117.05241671934037,139310
2016-03-10,116.84731213381271,121.0682504241361,112.75693638615046,117.45913848684478,117.45913848684478,366916
2016-03-11,120.05877176831532,119.50505831925065,115.93940737860605,118.3642285513189,118.3642285513189,103618
2016-03-14,118.93928281192248,124.10079004872142,116.56388841864445,118.81531602654496,118.81531602654496,493106
2016-03-15,116.46739091453111,122.89613836933326,118.40609161915782,118.65779787678925,118.65779787678925,210110
2016-03-16,120.51018525223806,119.0948729082913,118.22420748762424,118.72206740569841,118.72206740569841,222083
2016-03-17,119.79115730816443,122.67222081068,118.47400447899707,119.00416465231461,119.00416465231461,149289
2016-03-18,121.94937264413534,125.01201229661311,115.697404723633,119.7212253479597,119.7212253479597,215619
